,lat,lng
45360000,,
44700000,,
48750000,,
40800470,,
44034322,,
41830000,,
40352350,,
45443000,,
46990000,,
40725380,,
40243165,,
40430030,,
44245000,,
47740000,,
40050050,,
41207310,,
43900000,,
44190970,,
48540970,,
48470000,,
48070100,,
44150000,,
40340570,,
41510050,,
47600000,,
48990000,,
45940000,,
47530000,,
46440000,,
40130030,,
45611520,,
45300000,,
45980000,,
48070110,,
48400000,,
44575000,,
45970000,,
41275750,,
45638000,,
41295700,,
41213000,,
41270210,,
48070290,,
47850000,,
40110200,,
40221225,,
41741020,,
44925000,,
45605218,,
41150115,,
48800000,,
48900120,,
48455000,,
40470000,,
44051742,,
45650745,,
46190000,,
40366110,,
46820000,,
45655430,,
40240805,,
48485000,,
43700973,,
41290305,,
45365000,,
48540000,,
40717180,,
41213270,,
40352370,,
40720182,,
45820120,,
43815360,,
41120230,,
41227040,,
41740090,,
44540970,,
45985210,,
44900970,,
40240090,,
48880970,,
40349030,-32.0324747,-52.0997753
47740970,-24.0981451,-54.2647874
42800904,-13.0063674,-41.3683137
47800120,-14.8536139,-40.8481862
41342495,-14.8665902,-40.8552827
44400970,-14.2593028,-42.2604052
45603625,-14.4441099,-40.0519717
45910971,-17.5411616,-39.1920038
41207000,,
46980000,,
45653145,-12.2670898,-38.9629897
44260000,,
44001032,-12.2489993,-38.9507848
44009640,,
45540970,,
48609050,,
56318550,,
40301288,,
41343500,,
45330000,,
48705000,,
45613492,,
48900330,,
44960000,,
45651440,,
41760120,,
44066560,,
48060460,,
40040465,,
45201250,,
48611146,,
48770970,,
43825010,,
45950000,,
44330000,,
41515235,,
40353000,,
47500970,,
45270000,,
40230260,,
41110200,,
48925000,,
40470344,,
41217020,,
45470000,,
44003399,,
44572670,,
41130010,,
48030465,,
41260300,,
41341480,,
44695000,,
47300000,,
48906030,,
41180240,,
44059680,,
45960000,,
40365590,,
44099899,,
44574330,,
44002480,,
41900970,,
41253250,,
46900000,,
45000970,,
45157000,,
41207445,,
40370190,,
45602415,,
40100110,,
44885000,,
41342370,,
41301190,,
41500640,,
40715093,,
45530000,,
44118970,,
56322730,,
46860000,,
40255172,,
40290190,,
48903060,,
41741420,,
44009200,,
46310000,,
48850000,,
48370000,,
47608970,,
41280241,,
47680970,,
45606490,,
40725650,,
44052634,,
45655712,,
43805460,,
45822000,,
44360970,,
44073200,,
44670000,,
60430120,-3.7514448,-38.5519804
61602455,-3.7285971,-38.6490479
60175570,-22.7191774,-47.6318722
62700000,,
62285000,,
60010000,-3.7150485,-38.5443347
62400000,,
61943230,-3.8709228,-38.669159
63043300,,
60762080,-3.8099358,-38.5718219
62860000,,
58900000,,
63113500,,
60450510,-3.7328064,-38.5510822
60130080,-3.7464697,-38.5193833
63031020,-7.2130663,-40.1357958
60311420,-5.4626072,-38.4630381
62900000,,
60511620,-3.7518981,-38.52838
62640000,,
63190970,-6.49275,-38.6226387
60337180,-3.7105777,-38.5687017
62030010,-3.685829,-40.3529708
62940000,,
60863800,-3.7767357,-38.5056851
60346271,-3.7229623,-38.5889493
62265000,,
63380000,,
61902145,-3.7083273,-38.6027292
62600000,,
60531780,-3.7730286,-38.6043659
61600004,-3.73524,-38.6671236
63630000,,
62550000,,
60866280,-3.8335778,-38.522826
62980000,,
