,lat,lng,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
75960000,,,,75960000.0,Acreúna,,,GO,[]
75250000,,,,,,,,,[]
76240000,,,,76240000.0,Aragarças,,,GO,[]
73920000,,,,73920000.0,Iaciara,,,GO,[]
75901300,-17.800878,-50.9337282,Setor Central,75901300.0,Rio Verde,,Rua Raul Seabra Guimarães,GO,[]
76165000,,,,76165000.0,Americano do Brasil,,,GO,[]
74959283,-16.8260266,-49.3037773,Independência - 1º Complemento Setor das Mansões,74959283.0,Aparecida de Goiânia,,Rua 64 A,GO,[]
74713380,-16.6806342,-49.2274905,Jardim Novo Mundo,74713380.0,Goiânia,,Avenida Roosevelt,GO,[]
74550030,-18.9047919,-50.6575021,Setor Centro Oeste,74550030.0,Goiânia,,Rua C,GO,[]
74450020,,,Capuava,74450020.0,Goiânia,,Avenida Inconfidência,GO,[]
74520110,-16.686503899999998,-49.278964,Setor Campinas,74520110.0,Goiânia,,Avenida Perimetral,GO,[]
76740000,,,,76740000.0,Faina,,,GO,[]
75570000,,,,75570000.0,Bom Jesus,,,GO,[]
75705200,-16.292768300000002,-49.0909393,Loteamento Ipanema,75705200.0,Catalão,,Rua Gameleira,GO,[]
74555330,-16.6642592,-49.3131201,Vila Santa Helena,74555330.0,Goiânia,,Alameda Anicuns,GO,[]
74063090,-16.6586326,-49.2889789,Setor Norte Ferroviário,74063090.0,Goiânia,,Rua 4,GO,[]
75705130,-18.1430739,-47.925082,Loteamento Ipanema,75705130.0,Catalão,,Rua José Coelho Borges,GO,[]
75085570,-16.3054963,-48.9289143,Parque Residencial das Flores,75085570.0,Anápolis,,Rua 26,GO,[]
75350000,,,,75350000.0,Guapó,,,GO,[]
73801010,-15.5331044,-47.3367214,Centro,73801010.0,Formosa,,Rua Visconde de Porto Seguro,GO,[]
74265150,-16.719551199999998,-49.32004600000001,Jardim América,74265150.0,Goiânia,,Rua C25,GO,[]
74340560,-16.7264019,-49.3047829,Parque Anhanguera II,74340560.0,Goiânia,,Rua Getúlio Vargas,GO,[]
74475810,-16.6157686,-49.3410575,Setor Parque Tremendão,74475810.0,Goiânia,,Rua da Divisa,GO,[]
74610030,-16.6671718,-49.2469816,Setor Leste Universitário,74610030.0,Goiânia,- de 1001/1002 ao fim,Avenida Décima Primeira Avenida,GO,[]
75110600,-16.3278493,-48.9421414,Jundiaí,75110600.0,Anápolis,,Rua Rodrigues Tomaz,GO,[]
75980000,,,,75980000.0,Paraúna,,,GO,[]
76285000,,,,76285000.0,Novo Brasil,,,GO,[]
76590000,,,,76590000.0,São Miguel do Araguaia,,,GO,[]
75901120,,,Setor Central,75901120.0,Rio Verde,,Rua Nivaldo Ribeiro,GO,[]
75085694,-16.6457746,-49.4977606,Residencial Vale do Sol,75085694.0,Anápolis,,Rua 25,GO,[]
76245000,,,,76245000.0,Bom Jardim de Goiás,,,GO,[]
65636860,-20.8346301,-49.4953625,São Francisco II,65636860.0,Timon,,Loteamento Bela Vista,MA,[]
74780410,-16.6548206,-49.195002,Parque das Amendoeiras,74780410.0,Goiânia,,Rua Antenor Nascente,GO,[]
75091040,,,Conjunto Habitacional Filostro Machado Carneiro,75091040.0,Anápolis,,Rua Ítalo Naguetini,GO,[]
76555000,,,,76555000.0,Bonópolis,,,GO,[]
74533230,-16.681413199999998,-49.286678,Setor Coimbra,74533230.0,Goiânia,,Rua 268,GO,[]
74483280,-16.6847761,-49.3512947,Parque João Braz - Cidade Industrial,74483280.0,Goiânia,,Avenida Francisco Alves de Oliveira,GO,[]
74605220,-16.6769429,-49.243812111097604,Setor Leste Universitário,74605220.0,Goiânia,,Praça Universitária,GO,[]
74356675,-16.7825613,-49.38705039999999,Residencial Real Conquista,74356675.0,Goiânia,,Rua RC 14,GO,[]
74591022,,,Residencial Licardino Ney,74591022.0,Goiânia,,Rua LN6,GO,[]
74476065,-16.6157686,-49.3410575,Residencial Fortaleza,74476065.0,Goiânia,,Rua da Divisa,GO,[]
74705010,-16.6603709,-49.3266124,Jardim Novo Mundo,74705010.0,Goiânia,- até 1184 - lado par,Avenida Anhanguera,GO,[]
73750005,-15.1482299,-49.5773040928621,Setor Oeste,73750005.0,Planaltina,,Praça Cívica,GO,[]
76420000,,,,76420000.0,Niquelândia,,,GO,[]
76360000,,,,76360000.0,Itapaci,,,GO,[]
74473430,-16.6265499,-49.3208865,Vila Finsocial,74473430.0,Goiânia,,Rua VF 47,GO,[]
74420310,-16.689188,-49.31842020000001,Nossa Senhora de Fátima,74420310.0,Goiânia,,Rua Líbero Badaró,GO,[]
76100970,-15.8698582,-50.87159550000001,Setor Central,76100970.0,São Luís de Montes Belos,,Rua Jabaquara 230,GO,[]
73975000,,,,73975000.0,Buritinópolis,,,GO,[]
75380307,-16.6334672,-49.39013170000001,Setor Maysa,75380307.0,Trindade,,Avenida Elizabeth Marques,GO,[]
74370677,-16.720533800000002,-49.3411236,Residencial Vereda dos Buritis,74370677.0,Goiânia,,Rua VB 17,GO,[]
75113160,-16.3307671,-48.9430049,Jundiaí,75113160.0,Anápolis,,Rua Joaquim Propício de Pina,GO,[]
75383576,-16.637162699999998,-49.4231226,Setor Cristina,75383576.0,Trindade,,Rua Ana Angélica,GO,[]
75053420,-16.2800726,-48.98495820000001,Adriana Parque,75053420.0,Anápolis,,Avenida Patrícia,GO,[]
75060004,-16.3022973,-48.960511,Nova Alexandrina,75060004.0,Anápolis,,Avenida Dona Albertina de Pina,GO,[]
74684110,,,Residencial Vale dos Sonhos I,74684110.0,Goiânia,,Rua Getúlio Dédio de Brito,GO,[]
76350000,,,,76350000.0,Rubiataba,,,GO,[]
75144380,-16.342829000000002,-48.9566033,Vila Calixto Abrão,75144380.0,Anápolis,,Rua Calixto Abrão,GO,[]
75807390,-17.881940399999994,-51.7019012,Vila São Pedro,75807390.0,Jataí,,Rua Panamá,GO,[]
76550000,,,,76550000.0,Porangatu,,,GO,[]
74969040,-16.6729518,-49.3176531,Setor Conde dos Arcos,74969040.0,Aparecida de Goiânia,,Rua 2,GO,[]
75360000,,,,75360000.0,Aragoiânia,,,GO,[]
74355410,-16.661111,-49.2867936,Condomínio das Esmeraldas,74355410.0,Goiânia,,Rua 9,GO,[]
74495120,,,Conjunto Vera Cruz,74495120.0,Goiânia,,Rua Inhanhá do Couto,GO,[]
75630000,,,,75630000.0,Mairipotaba,,,GO,[]
75043045,-18.1364876,-48.0870212,Setor Central,75043045.0,Anápolis,- de 1 ao fim - lado ímpar,Avenida Tiradentes,GO,[]
74954170,-16.789025100000003,-49.2826846,Parque Veiga Jardim,74954170.0,Aparecida de Goiânia,,Rua Dona Maria Edila Curado Veiga Jardim,GO,[]
75920000,,,,75920000.0,Santa Helena de Goiás,,,GO,[]
75180000,,,,75180000.0,Silvânia,,,GO,[]
74250010,-16.667820000000006,-49.2316954,Jardim América,74250010.0,Goiânia,,Rua C148,GO,[]
75040040,-16.6252292,-49.2428663,Maracanã,75040040.0,Anápolis,,Avenida Presidente Kennedy,GO,[]
76170000,,,,76170000.0,Anicuns,,,GO,[]
75985000,,,,75985000.0,São João da Paraúna,,,GO,[]
75044020,-16.9525182,-50.2579405,Frei Eustáquio,75044020.0,Anápolis,,Rua da Liberdade,GO,[]
76289970,-16.0334036,-50.7111585,Setor Central,76289970.0,Novo Brasil,,Avenida Joaquim Pacheco de Macedo 706,GO,[]
75570970,-18.2211797,-49.7332061,Setor Central,75570970.0,Bom Jesus,,Avenida Frederico Saraiva 633,GO,[]
74937490,-16.7754227,-49.298211,Cidade Vera Cruz,74937490.0,Aparecida de Goiânia,,Rua H 150,GO,[]
76335000,,,,76335000.0,Uruana,,,GO,[]
74920010,-16.7706049,-49.281139,Cidade Satélite São Luiz,74920010.0,Aparecida de Goiânia,,Rua Abílio Barreto,GO,[]
74917500,-16.7579033,-49.2639773,Jardim Mont Serrat Complemento,74917500.0,Aparecida de Goiânia,,Rua Jamundá,GO,[]
75902251,-16.7966021,-49.3803149,Vila Serpro,75902251.0,Rio Verde,,Rua das Rosas,GO,[]
75170000,,,,75170000.0,Goianápolis,,,GO,[]
75090210,-16.299332800000002,-48.8937629,Jardim Primavera 1ª Etapa,75090210.0,Anápolis,,Rua JP 4,GO,[]
74988814,-16.656862,-49.260628,Real Grandeza,74988814.0,Aparecida de Goiânia,,Avenida Oeste,GO,[]
74970620,-16.824522199999997,-49.29230220000001,Colina Azul,74970620.0,Aparecida de Goiânia,,Rua Guará,GO,[]
75071685,-16.280259599999994,-48.9524555,Parque dos Pirineus,75071685.0,Anápolis,,Rua PP 5,GO,[]
74943230,-16.273622800000002,-48.9713057,Jardim Buriti Sereno,74943230.0,Aparecida de Goiânia,,Rua Imperatriz,GO,[]
74435970,,,Aeroviário,74435970.0,Goiânia,,Rua 6 s/n Quadra 18 Lote 07,GO,[]
74927090,-16.756466800000002,-49.2094723,Parque Trindade III,74927090.0,Aparecida de Goiânia,,Rua Leo Lince de Araújo,GO,[]
75050310,-16.6729518,-49.3176531,Anexo Itamaraty,75050310.0,Anápolis,,Rua 2,GO,[]
75053313,-16.278146,-48.9869984,Adriana Parque,75053313.0,Anápolis,,Rua Alice,GO,[]
75250005,-16.6147079,-49.2073753,Conjunto Habitacional Jardim Sabiá,75250005.0,Senador Canedo,,Rua Itacolomi,GO,[]
75124842,-16.3560165,-48.9671655,Setor Residencial Pedro Ludovico,75124842.0,Anápolis,,Rua José Martins de Brito,GO,[]
74630220,-15.864367199999998,-48.3279099,Feliz,74630220.0,Goiânia,,Rua L5,GO,[]
76500000,,,,76500000.0,Santa Terezinha de Goiás,,,GO,[]
74340375,-16.7212917,-49.304205,Parque Anhanguera II,74340375.0,Goiânia,,Avenida Prudente de Morais,GO,[]
75905580,-17.796440399999994,-50.9080545,Jardim das Margaridas,75905580.0,Rio Verde,,Rua Francisco Bueno,GO,[]
74843160,-16.7335696,-49.2854233,Parque Amazônia,74843160.0,Goiânia,,Rua Niterói,GO,[]
74769745,-16.6349051,-49.38726679999999,Loteamento Tupinambá dos Reis,74769745.0,Goiânia,,Avenida Anápolis,GO,[]
74475046,-16.6115207,-49.3315934,Setor Parque Tremendão,74475046.0,Goiânia,,Rua Amadeu Batista,GO,[]
75130340,-16.38465,-48.9645869,Polocentro 1ª Etapa,75130340.0,Anápolis,,Rua Poeta Paulo Nunes Batista,GO,[]
74463170,-15.864367199999998,-48.3279099,Setor Cândida de Morais,74463170.0,Goiânia,,Rua CM3,GO,[]
74335120,-16.7212917,-49.304205,Anhanguera,74335120.0,Goiânia,,Avenida Prudente de Moraes,GO,[]
74944440,-16.6518169,-49.3392429,Jardim Buriti Sereno,74944440.0,Aparecida de Goiânia,,Rua Cristiano,GO,[]
74917365,-15.9145175,-52.2476631,Jardim Mont Serrat,74917365.0,Aparecida de Goiânia,,Rua 507,GO,[]
75133889,-16.4112213,-48.89401470000001,Jardim Esperança,75133889.0,Anápolis,,Rua Natalina,GO,[]
73760000,,,,73760000.0,São João D'Aliança,,,GO,[]
72806010,-16.6277695,-49.33121720000001,Parque Estrela Dalva V,72806010.0,Luziânia,,Avenida Contorno,GO,[]
74366098,-16.6908413,-49.1638801,Village Veneza,74366098.0,Goiânia,,Rua VV 5,GO,[]
74920170,-17.140654100000006,-49.9924589,Cidade Satélite São Luiz,74920170.0,Aparecida de Goiânia,,Rua Érico Veríssimo,GO,[]
65041225,-2.5385828,-44.1144862,Coroadinho,65041225.0,São Luís,,Rua Principal,MA,[]
65208000,,,,65208000.0,Santa Helena,,,MA,[]
65753000,,,,65753000.0,São Raimundo do Doca Bezerra,,,MA,[]
65040040,-4.1437381,-45.121206,João Paulo,65040040.0,São Luís,,Rua Lino Machado,MA,[]
65058010,-2.5637384,-44.1984987,Cidade Operária,65058010.0,São Luís,,Avenida Arterial Norte Externa,MA,[]
65790000,,,,65790000.0,São Domingos do Maranhão,,,MA,[]
65063190,-4.3244832,-46.4470092,Novo Angelim,65063190.0,São Luís,,Rua Amazônia,MA,[]
65010000,-2.5261022,-44.3016751,Centro,65010000.0,São Luís,,Rua Vinte e Oito de Setembro,MA,[]
65560000,,,,65560000.0,Magalhães de Almeida,,,MA,[]
65067845,-2.492942,-44.2208237,Divinéia,65067845.0,São Luís,,Avenida Mahiba Azar,MA,[]
65903270,-5.5314707,-47.4859338,Centro,65903270.0,Imperatriz,,Avenida Dorgival Pinheiro de Sousa,MA,[]
65393000,,,,65393000.0,Buriticupu,,,MA,[]
65928000,,,,65928000.0,Governador Edison Lobão,,,MA,[]
65035640,-2.5398129000000003,-44.2846716,Retiro Natal,65035640.0,São Luís,,Rua Graciliano Ramos,MA,[]
65300000,,,,,,,,,[]
65070110,-2.5198194,-44.2617248,Recanto dos Vinhais,65070110.0,São Luís,,Rua Beta Centauri,MA,[]
65485000,,,,65485000.0,Itapecuru Mirim,,,MA,[]
65665000,,,,65665000.0,São João dos Patos,,,MA,[]
65055630,-2.5180708,-44.1086649,Jardim São Cristóvão,65055630.0,São Luís,,Travessa São Luís,MA,[]
65145000,,,,65145000.0,Santa Rita,,,MA,[]
65400000,,,,65400000.0,Codó,,,MA,[]
65049372,-2.5543477,-44.2686215,Residencial Canaã,65049372.0,São Luís,,Rua do Ouro,MA,[]
65075230,-2.5036369,-44.2941408,Jardim Renascença,65075230.0,São Luís,,Rua das Juçaras,MA,[]
65058423,-2.5694221,-44.1931595,Recanto dos Signos,65058423.0,São Luís,,Rua Capricórnio,MA,[]
65061220,-2.5609407,-44.24558620000001,Ipase,65061220.0,São Luís,,Rua São Sebastião,MA,[]
65725000,,,,65725000.0,Pedreiras,,,MA,[]
65020420,,,Centro,65020420.0,São Luís,,Praça Odorico Mendes,MA,[]
65680000,,,,65680000.0,Passagem Franca,,,MA,[]
65919140,-5.5055611,-47.4929592,Santa Rita,65919140.0,Imperatriz,,Rua Rio Grande do Norte,MA,[]
65910110,-5.5201828,-47.4403905,Vila Lobão,65910110.0,Imperatriz,,Rua Marechal Rondon,MA,[]
65820000,,,,65820000.0,Tasso Fragoso,,,MA,[]
65058759,-2.5057635,-44.3101624,Geniparana,65058759.0,São Luís,,Rua Rio Pindaré,MA,[]
65060841,-2.5424404,-44.2495643,Vila Isabel Cafeteira,65060841.0,São Luís,,2ª Rua da Felicidade,MA,[]
65081784,-4.4519715,-47.5292373,Residencial Paraíso,65081784.0,São Luís,,Rua do Cedro,MA,[]
65930000,,,,65930000.0,Açailândia,,,MA,[]
65046710,-2.6869761000000003,-44.2975553,Santa Cruz,65046710.0,São Luís,,Rua São Domingos,MA,[]
65065110,,,Olho D'Água,65065110.0,São Luís,,Loteamento Cidade Balneária,MA,[]
65080330,,,Sá Viana,65080330.0,São Luís,,Rua Professor Nascimento Moraes,MA,[]
65580000,,,,65580000.0,Tutóia,,,MA,[]
65901715,-5.4925322,-47.47817379999999,Vale do Sol,65901715.0,Imperatriz,,Avenida Imperatriz,MA,[]
65906060,-2.50688,-44.3048726,Imigrantes,65906060.0,Imperatriz,,Rua Seis,MA,[]
65903900,-2.5376209,-44.27704,Centro,65903900.0,Imperatriz,,Avenida Getúlio Vargas 1820,MA,[]
65061160,-2.533356,-44.261662,Ipase,65061160.0,São Luís,,Rua Leopoldina Froes,MA,[]
65900520,-5.5055611,-47.4929592,Juçara,65900520.0,Imperatriz,,Rua Rio Grande do Norte,MA,[]
65250000,,,,65250000.0,Alcântara,,,MA,[]
65110000,,,,65110000.0,São José de Ribamar,,,MA,[]
65750000,,,,65750000.0,Esperantinópolis,,,MA,[]
65053660,-2.7008267000000004,-44.3062653,Cohatrac I,65053660.0,São Luís,,Rua I,MA,[]
65054240,-2.5076658,-44.1996178,Cohatrac II,65054240.0,São Luís,,Rua Dezoito,MA,[]
65138000,,,,65138000.0,Raposa,,,MA,[]
65130000,,,,65130000.0,Paço do Lumiar,,,MA,[]
65056557,-2.5089266,-44.21961029999999,Vila Brasil,65056557.0,São Luís,,Rua Guanabara,MA,[]
65700000,,,,65700000.0,Bacabal,,,MA,[]
77920000,,,,77920000.0,Itaguatins,,,TO,[]
65927000,,,,65927000.0,Davinópolis,,,MA,[]
65520000,,,,65520000.0,Brejo,,,MA,[]
65200000,,,,65200000.0,Pinheiro,,,MA,[]
65923000,,,,65923000.0,Amarante do Maranhão,,,MA,[]
65283000,,,,65283000.0,Maranhãozinho,,,MA,[]
65071050,-2.5927225,-44.198453,Vinhais,65071050.0,São Luís,,Rua Três,MA,[]
65950000,,,,65950000.0,Barra do Corda,,,MA,[]
65045010,-2.5033245,-44.2968537,Jardim Alvorada,65045010.0,São Luís,,Rua das Acácias,MA,[]
65480000,,,,65480000.0,Arari,,,MA,[]
65030480,,,Fátima,65030480.0,São Luís,,Rua Doutor Almir Marques,MA,[]
65045520,-2.4915307,-44.20913270000001,Vila Palmeira,65045520.0,São Luís,,1ª Rua Gonçalves Dias,MA,[]
65041360,-2.6778927,-44.2797609,João Paulo,65041360.0,São Luís,,Rua São Benedito,MA,[]
65043810,-2.6949763,-44.303462,Salina do Sacavém,65043810.0,São Luís,,Rua da Vitória,MA,[]
65010010,-2.5261459,-44.2991066,Centro,65010010.0,São Luís,,Rua do Rancho,MA,[]
65063201,-2.5358776,-44.2312054,Novo Angelim,65063201.0,São Luís,,Travessa Belo Horizonte,MA,[]
77930000,,,,77930000.0,Axixá do Tocantins,,,TO,[]
65066669,-5.4886054,-47.46103,Planalto Turu II,65066669.0,São Luís,,Rua Imperatriz,MA,[]
65413000,,,,65413000.0,Alto Alegre do Maranhão,,,MA,[]
65010110,,,Centro,65010110.0,São Luís,,Beco do Couto,MA,[]
65010020,-2.5284338,-44.2914385,Centro,65010020.0,São Luís,,Rua dos Afogados,MA,[]
65490000,,,,65490000.0,Anajatuba,,,MA,[]
65780000,,,,65780000.0,Governador Eugênio Barros,,,MA,[]
65248000,,,,65248000.0,Bequimão,,,MA,[]
65360000,,,,65360000.0,Monção,,,MA,[]
65901000,-2.5635517000000005,-44.18669600000001,São José do Egito,65901000.0,Imperatriz,,Rua Pará,MA,[]
65010030,-5.5189738,-47.441143,Centro,65010030.0,São Luís,,Rua Afonso Pena,MA,[]
65010040,-2.5747637,-44.267651,Centro,65010040.0,São Luís,,Rua do Alecrim,MA,[]
65238000,,,,65238000.0,Palmeirândia,,,MA,[]
65060833,-3.9760467,-45.6663091,Vila Isabel Cafeteira,65060833.0,São Luís,,Rua Dois Irmãos,MA,[]
65010050,-2.5268724,-44.2999655727359,Centro,65010050.0,São Luís,,Praça Antônio Lobo,MA,[]
65010080,-2.52782445,-44.3056275474592,Centro,65010080.0,São Luís,,Praça Benedito Leite,MA,[]
65395000,,,,65395000.0,Bom Jesus das Selvas,,,MA,[]
65708000,,,,65708000.0,São Luís Gonzaga do Maranhão,,,MA,[]
65060050,-22.9621126,-43.2535816,Aurora,65060050.0,São Luís,,Alto da Boa Vista,MA,[]
65010060,39.3715594,-8.9446427,Centro,65010060.0,São Luís,,Beco das Barrocas,MA,[]
65057130,-2.5604315,-44.2332751,João de Deus,65057130.0,São Luís,,Rua Gomes Batista,MA,[]
65137000,,,,65137000.0,Maioba (Paço do Lumiar),,,MA,[]
65073780,-2.5366317000000005,-44.2998754,Cohama,65073780.0,São Luís,,Rua Cândido Ribeiro,MA,[]
65060070,-2.5043804,-43.2461531,Cruzeiro do Anil,65060070.0,São Luís,,1ª Travessa da Brasília,MA,[]
65090050,-2.5115873,-44.3025136,Vila Itamar II,65090050.0,São Luís,,Travessa Três,MA,[]
65010070,-2.5236058,-44.2971934,Centro,65010070.0,São Luís,,Avenida Beira-Mar,MA,[]
65707000,,,,65707000.0,Pio XII,,,MA,[]
65090080,-2.5152094,-44.3056364,Vila Itamar II,65090080.0,São Luís,,Rua Tancredo Neves,MA,[]
65086300,-2.5462515,-44.1430208,Alto Esperança,65086300.0,São Luís,,Avenida Um,MA,[]
65090070,-1.1950855,-47.1983929,Vila Itamar II,65090070.0,São Luís,,Travessa Dezenove de Novembro,MA,[]
65970000,,,,65970000.0,Porto Franco,,,MA,[]
65040810,-4.1488142,-45.0712193,Vila Ivar Saldanha,65040810.0,São Luís,,Rua da Mangueira,MA,[]
65050810,-22.8382325,-43.37462960000001,COHAB Anil III,65050810.0,São Luís,,Rua Fábio Reis,MA,[]
65070810,-2.5722004000000003,-44.22743679999999,Vinhais,65070810.0,São Luís,,Rua Trinta e Cinco,MA,[]
65901500,-5.527674299999998,-47.4870944,Bacuri,65901500.0,Imperatriz,,Rua Coriolano Milhomem,MA,[]
65715000,,,,65715000.0,Lago da Pedra,,,MA,[]
65090810,-5.5211696,-47.4630763,Vila Primavera (Maracanã),65090810.0,São Luís,,Rua Tupinambá,MA,[]
65091810,,,Rio Grande,65091810.0,São Luís,,Travessa Três Nascentes,MA,[]
65055540,-12.119957800000002,-45.0075739,Jardim São Cristóvão,65055540.0,São Luís,,Rua Cleonice Lopes,MA,[]
65973000,,,,65973000.0,São João do Paraíso,,,MA,[]
65495000,,,,65495000.0,Miranda do Norte,,,MA,[]
65091820,-4.1456591,-45.0736456,Rio Grande,65091820.0,São Luís,,Rua do Fio,MA,[]
65050250,-4.9152532,-47.4217869,COHAB Anil I,65050250.0,São Luís,,Rua Antônio Pires,MA,[]
65060582,-4.1438839,-45.0675554,Aurora,65060582.0,São Luís,,2ª Rua São José,MA,[]
65590000,,,,65590000.0,Barreirinhas,,,MA,[]
65090830,-2.4552883,-44.1428231,Maracanã,65090830.0,São Luís,(Alegria),Rua Santa Terezinha,MA,[]
65320000,,,,65320000.0,Vitorino Freire,,,MA,[]
65081255,-5.1005205999999985,-42.83236779999999,Vila Embratel,65081255.0,São Luís,,Rua Nossa Senhora de Fátima,MA,[]
65047090,-2.5629116,-44.2231226,Santo Antônio,65047090.0,São Luís,,Travessa São Sebastião,MA,[]
65895000,,,,65895000.0,Loreto,,,MA,[]
65066664,-2.4926083,-44.2484891,Turu,65066664.0,São Luís,,Rua Bacurituba,MA,[]
65090860,-2.5679559,-44.11677,Maracanã,65090860.0,São Luís,(Res 21 de Abril),Rua do Sol,MA,[]
65540000,,,,65540000.0,Santa Quitéria do Maranhão,,,MA,[]
65090872,-2.5385828,-44.1144862,Maracanã,65090872.0,São Luís,,Rua Principal,MA,[]
65365000,,,,65365000.0,Zé Doca,,,MA,[]
65090873,-2.6942618,-44.3075998,Maracanã,65090873.0,São Luís,,Estrada da Vitória,MA,[]
65090822,-2.6024245,-44.1945364,Maracanã,65090822.0,São Luís,(Alegria),Travessa Menino Jesus,MA,[]
65062670,-2.5487009,-44.1639125,Angelim,65062670.0,São Luís,,Rua Cinco,MA,[]
65390000,,,,65390000.0,Santa Luzia,,,MA,[]
65800000,,,,65800000.0,Balsas,,,MA,[]
65061100,-2.5456453,-44.3282652,Ipase,65061100.0,São Luís,,Rua Carlos Chagas,MA,[]
65916150,-5.5369903,-47.4713926,Bacuri,65916150.0,Imperatriz,,Rua General Gurjão,MA,[]
65090890,,,Maracanã,65090890.0,São Luís,,Vila Mochel,MA,[]
65143000,,,,65143000.0,Bacabeira,,,MA,[]
65706000,,,,65706000.0,Olho D'Água das Cunhãs,,,MA,[]
65091006,,,Vila Maranhão,65091006.0,São Luís,(Cajueiro),Rua Rio da Praia,MA,[]
65031220,-2.534921,-44.28599929999999,Vila Passos,65031220.0,São Luís,,Rua Mourão Rangel,MA,[]
65911424,-4.145031,-45.0514458,Vila Brasil,65911424.0,Imperatriz,,Rua São Francisco,MA,[]
65059825,-2.5124055,-44.0843448,Cruzeiro de Santa Bárbara,65059825.0,São Luís,,Rua da Pedreira,MA,[]
65082219,-4.143809,-45.06685529999999,São Raimundo (Anjo da Guarda),65082219.0,São Luís,,Rua São José,MA,[]
65081347,-2.5438942000000004,-44.1646343,Vila Embratel,65081347.0,São Luís,,Rua Catorze,MA,[]
65058840,,,Vila Janaína,65058840.0,São Luís,,Rua Sancler de Lima,MA,[]
65272000,,,,65272000.0,Santa Luzia do Paruá,,,MA,[]
65026270,,,Goiabal,65026270.0,São Luís,,Travessa São Tomaz de Aquino,MA,[]
65165000,,,,65165000.0,Cachoeira Grande,,,MA,[]
65085808,-4.9353449000000005,-47.4684865,Anjo da Guarda,65085808.0,São Luís,,Rua Dinamarca,MA,[]
65415000,,,,65415000.0,Coroatá,,,MA,[]
65460000,,,,65460000.0,Pirapemas,,,MA,[]
65047390,-2.5098891,-44.2228326,Vila Palmeira,65047390.0,São Luís,,Avenida Projetada,MA,[]
65026100,-2.5427597,-44.2983115,Madre Deus,65026100.0,São Luís,,Avenida Rui Barbosa,MA,[]
65709000,,,,65709000.0,Satubinha,,,MA,[]
65040050,-2.6023046,-44.1930064,João Paulo,65040050.0,São Luís,,Rua Nossa Senhora das Graças,MA,[]
65215000,,,,65215000.0,Viana,,,MA,[]
65808000,,,,65808000.0,Nova Colinas,,,MA,[]
39340000,,,,39340000.0,Coração de Jesus,,,MG,[]
35164085,-19.8358825,-43.9888752,Bethânia,35164085.0,Ipatinga,,Rua Montevidéu,MG,[]
35059070,-19.907887,-44.0771012,Santa Helena,35059070.0,Governador Valadares,,Rua Barbacena,MG,[]
35300149,-19.7916181,-42.1544768,Santo Antônio,35300149.0,Caratinga,,Rua Manoel Marques Valente,MG,[]
36525000,,,,36525000.0,Guiricema,,,MG,[]
35196000,,,,35196000.0,Perpétuo Socorro (Belo Oriente),,,MG,[]
35560000,,,,35560000.0,Santo Antônio do Monte,,,MG,[]
31535580,-19.810472,-43.9767572,Candelária,31535580.0,Belo Horizonte,,Rua Atacamita,MG,[]
35995000,,,,35995000.0,São Domingos do Prata,,,MG,[]
39240000,,,,39240000.0,Joaquim Felício,,,MG,[]
35720000,,,,35720000.0,Matozinhos,,,MG,[]
36087375,-20.0453239,-44.12773120000001,Nova Era,36087375.0,Juiz de Fora,,Rua dos Rodoviários,MG,[]
37130000,,,,,,,,,[]
37900174,-20.7140986,-46.6077513,Centro,37900174.0,Passos,- de 385/386 ao fim,Rua Dom Inácio Dalmont,MG,[]
37950000,,,,37950000.0,São Sebastião do Paraíso,,,MG,[]
32140240,-19.8491169,-44.0039612,Jardim Laguna,32140240.0,Contagem,,Rua Braúna,MG,[]
36047080,-21.7222163,-43.3561602,Bandeirantes,36047080.0,Juiz de Fora,,Rua Antônio de Paula Mendes,MG,[]
35320000,,,,35320000.0,São Cândido (Caratinga),,,MG,[]
35170970,-19.5276112,-42.6233503,Centro,35170970.0,Coronel Fabriciano,,Rua José Cornélio 147,MG,[]
39550000,,,,39550000.0,Taiobeiras,,,MG,[]
33400000,,,,33400000.0,Lagoa Santa,,,MG,[]
32667120,-19.9697031,-44.1372662,Guanabara,32667120.0,Betim,,Rua Wander José dos Santos,MG,[]
32050030,-19.9773387,-44.3199648,Nova Contagem,32050030.0,Contagem,,Rua VP-1,MG,[]
38400100,-18.8913854,-48.2558736,Centro,38400100.0,Uberlândia,- até 557/558,Avenida Floriano Peixoto,MG,[]
35195000,,,,35195000.0,Belo Oriente,,,MG,[]
30240104,-19.818503600000003,-43.9919224,Nossa Senhora da Conceição,30240104.0,Belo Horizonte,,Beco Santa Tereza,MG,[]
32342190,-19.9163402,-44.1287698,Parque São João,32342190.0,Contagem,,Rua Vinte,MG,[]
37460000,,,,37460000.0,Passa Quatro,,,MG,[]
39735000,,,,39735000.0,Divinolândia de Minas,,,MG,[]
36810000,,,,36810000.0,São Francisco do Glória,,,MG,[]
39300000,,,,39300000.0,São Francisco,,,MG,[]
32400970,,,Centro,32400970.0,Ibirité,,Rua Otacílio Negrão de Lima 135 Lojas 2 e 3,MG,[]
38550000,,,,38550000.0,Coromandel,,,MG,[]
39401129,-16.7139837,-43.8899997,Vila Oliveira,39401129.0,Montes Claros,,Rua Belarmino Pereira da Silva,MG,[]
