,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
57480000,,57480000,Delmiro Gouveia,,,AL,[]
57084048,Benedito Bentes,57084048,Maceió,(Cj Benedito Bentes I),Rua A-48,AL,[]
57980000,,57980000,Joaquim Gomes,,,AL,[]
57307650,Jardim Esperança,57307650,Arapiraca,,Rua Antenor Pereira Nunes,AL,[]
57071776,Clima Bom,57071776,Maceió,,1ª Travessa Natal,AL,[]
57310230,Capiatã,57310230,Arapiraca,,Avenida Ministro Petrônio Portela,AL,[]
57085160,Benedito Bentes,57085160,Maceió,,Avenida Antônio Lisboa de Amorim,AL,[]
57050080,Farol,57050080,Maceió,,Rua Doutor Albino Magalhães,AL,[]
57084040,Benedito Bentes,57084040,Maceió,(Cj Benedito Bentes I),Rua A-40,AL,[]
57620000,,57620000,Igaci,,,AL,[]
57071120,Clima Bom,57071120,Maceió,,Rua Santa Rita,AL,[]
57010615,Trapiche da Barra,57010615,Maceió,- até 137 - lado ímpar,Rua Pio XII,AL,[]
57460000,,57460000,Piranhas,,,AL,[]
57990000,,57990000,Messias,,,AL,[]
57925000,,57925000,Barra de Santo Antônio,,,AL,[]
57301060,Ouro Preto,57301060,Arapiraca,- de 597/598 a 1311/1312,Rua Estudante José de Oliveira Leite,AL,[]
57017180,Levada,57017180,Maceió,,Rua Luzia Suruagy,AL,[]
57968000,,57968000,Campestre,,,AL,[]
57311210,Caititus,57311210,Arapiraca,,Rua Nossa Senhora da Penha,AL,[]
57025880,Poço,57025880,Maceió,,Rua Pedro Bonifácio de Oliveira,AL,[]
57615000,,57615000,Minador do Negrão,,,AL,[]
57307490,Jardim Esperança,57307490,Arapiraca,,Avenida Raimundo Xavier do Nascimento,AL,[]
57040500,Jacintinho,57040500,Maceió,,Rua Santo Antônio,AL,[]
57314150,Itapoã,57314150,Arapiraca,,Rua Claudete Maria de Melo,AL,[]
57325000,,57325000,Coité do Nóia,,,AL,[]
57442000,,57442000,Olho D'Água das Flores,,,AL,[]
57071593,Clima Bom,57071593,Maceió,,Rua da Nascente,AL,[]
57084800,Benedito Bentes,57084800,Maceió,,Avenida Benedito Bentes,AL,[]
57041204,Jacintinho,57041204,Maceió,,Rua São João,AL,[]
57022010,Jaraguá,57022010,Maceió,,Rua Batista Acioli,AL,[]
57010230,Prado,57010230,Maceió,,Rua Conselheiro Francisco Vieira,AL,[]
57970000,,57970000,Novo Lino,,,AL,[]
57015030,Vergel do Lago,57015030,Maceió,,Rua do Cajueiro,AL,[]
57580000,,57580000,Major Isidoro,,,AL,[]
57010170,Prado,57010170,Maceió,,Rua Maranhão,AL,[]
57910000,,57910000,Matriz de Camaragibe,,,AL,[]
57035230,Ponta Verde,57035230,Maceió,,Avenida Professor Sandoval Arroxelas,AL,[]
57820000,,57820000,Murici,,,AL,[]
57048156,Antares,57048156,Maceió,(Lot Casa Forte),Rua E,AL,[]
57160000,,57160000,Marechal Deodoro,,,AL,[]
57025679,Poço,57025679,Maceió,,Vila Oscar Peixoto,AL,[]
57608400,Palmeira de Fora,57608400,Palmeira dos Índios,,Avenida Rotary,AL,[]
57044226,São Jorge,57044226,Maceió,,Rua Princesa Isabel,AL,[]
57040045,Jacintinho,57040045,Maceió,,1ª Travessa Boa Vista,AL,[]
57040050,Jacintinho,57040050,Maceió,,Rua Alto da Boa Vista,AL,[]
69095000,Cidade Nova,69095000,Manaus,- de 851/852 a 2399/2400,Avenida Noel Nutels,AM,[]
69057000,Adrianópolis,69057000,Manaus,- até 436/437,Avenida Mário Ypiranga,AM,[]
69040010,Dom Pedro I,69040010,Manaus,,Rua Francisco Orellana,AM,[]
69099000,Novo Aleixo,69099000,Manaus,,Rua Itaeté,AM,[]
69047220,Redenção,69047220,Manaus,,Rua Quixadá,AM,[]
69057010,Adrianópolis,69057010,Manaus,,Rua Maceió,AM,[]
69078300,Japiim,69078300,Manaus,,Rua Britânia,AM,[]
69087640,Tancredo Neves,69087640,Manaus,,Rua Malva Verde,AM,[]
69084260,Zumbi dos Palmares,69084260,Manaus,,Travessa Mamanguape,AM,[]
