,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
80330240,Portão,80330240,Curitiba,,Rua Amadeu do Amaral,PR,[]
85948000,,85948000,Pato Bragado,,,PR,[]
83706130,Capela Velha,83706130,Araucária,,Rua Andorinha,PR,[]
85470000,,85470000,Catanduvas,,,PR,[]
83601080,Vila Operária,83601080,Campo Largo,,Rua Rodolpho Castagnoli,PR,[]
85640000,,85640000,Ampére,,,PR,[]
87030140,Zona 07,87030140,Maringá,,Rua São Silvestre,PR,[]
85560000,,85560000,Chopinzinho,,,PR,[]
83025290,Santo Antônio,83025290,São José dos Pinhais,,Rua Brasílio Dal'Negro,PR,[]
81925275,Sítio Cercado,81925275,Curitiba,,Rua Lauro Fernandes,PR,[]
86066040,Jardim Novo Sabará,86066040,Londrina,,Rua Cristóvão Cardoso de Barros,PR,[]
87040500,Jardim Tupinambá,87040500,Maringá,,Rua Barão de Parnaíba,PR,[]
81570090,Uberaba,81570090,Curitiba,,Rua Isac de Oliveira,PR,[]
83301036,Vila Ipanema,83301036,Piraquara,,Rua Francisca Assis Center,PR,[]
85548000,,85548000,Honório Serpa,,,PR,[]
83070040,Rio Pequeno,83070040,São José dos Pinhais,,Rua Rosa Moro Machado,PR,[]
80510190,São Francisco,80510190,Curitiba,- até 399/400,Rua Mateus Leme,PR,[]
83206355,Vila Itiberê,83206355,Paranaguá,,Rua Coronel Alberto Gomes Veiga,PR,[]
81940340,Umbará,81940340,Curitiba,,Rua Ângelo Gai,PR,[]
85851970,Centro,85851970,Foz do Iguaçu,,Praça Getúlio Vargas 72,PR,[]
82410450,Santa Felicidade,82410450,Curitiba,,Rua Deputado Carlos René Egg,PR,[]
85628000,,85628000,Manfrinópolis,,,PR,[]
87505628,Jardim São Francisco,87505628,Umuarama,,Rua Olavo Madeira de Araujo,PR,[]
86181090,Centro,86181090,Cambé,,Rua Bélgica,PR,[]
86780000,,86780000,Flórida,,,PR,[]
83030205,Aristocrata,83030205,São José dos Pinhais,,Rua Arthur Schopenhauer,PR,[]
85857620,Conjunto Libra,85857620,Foz do Iguaçu,- de 1401/1402 a 2699/2700,Avenida Pôr do Sol,PR,[]
81305440,Cidade Industrial,81305440,Curitiba,,Rua Birigui,PR,[]
86940000,,86940000,Bom Sucesso,,,PR,[]
81580080,Uberaba,81580080,Curitiba,,Rua Sílvio da Maia Moreira,PR,[]
87140000,,87140000,Paiçandu,,,PR,[]
86360000,,86360000,Bandeirantes,,,PR,[]
83085080,Quississana,83085080,São José dos Pinhais,,Rua Dirceu Montanarim,PR,[]
85852390,Loteamento Santos Guglielme,85852390,Foz do Iguaçu,,Rua Princesa Izabel,PR,[]
83505530,Campina do Arruda,83505530,Almirante Tamandaré,,Rua Porto Seguro,PR,[]
87502970,Zona II,87502970,Umuarama,,Rua Aricanduva 4081,PR,[]
87502000,Zona III,87502000,Umuarama,- de 4569/4570 ao fim,Avenida Paraná,PR,[]
81230170,Campo Comprido,81230170,Curitiba,,Rua Renato Polatti,PR,[]
83829156,Santa Terezinha,83829156,Fazenda Rio Grande,,Rua São Tomás de Aquino,PR,[]
83025646,Santo Antônio,83025646,São José dos Pinhais,,Rua Domarino Dal Negro,PR,[]
87308071,Jardim Cidade Nova,87308071,Campo Mourão,- de 1127 a 1599 - lado ímpar,Rua Prefeito José Antônio dos Santos,PR,[]
87112809,Jardim Monterey,87112809,Sarandi,,Rua das Grevíleas,PR,[]
85816320,Pacaembu,85816320,Cascavel,- até 1163/1164,Rua Matelândia,PR,[]
85804470,Guarujá,85804470,Cascavel,,Rua Samambaias,PR,[]
82710260,Cachoeira,82710260,Curitiba,,Rua David Bodziak,PR,[]
85859656,Parque Residencial Morumbi II,85859656,Foz do Iguaçu,,Travessa Saíra,PR,[]
86073321,Nova Olinda,86073321,Londrina,,Rua Sebastião Rosa,PR,[]
86120000,,86120000,Guaravera (Londrina),,,PR,[]
85610000,,85610000,Renascença,,,PR,[]
85856350,Jardim São Paulo I,85856350,Foz do Iguaçu,,Rua Ernesto Freiertag,PR,[]
80620120,Água Verde,80620120,Curitiba,,Rua Murilo do Amaral Ferreira,PR,[]
82020670,Santa Felicidade,82020670,Curitiba,,Rua Germano Roggenbaum,PR,[]
80230020,Rebouças,80230020,Curitiba,- até 1029/1030,Avenida Iguaçu,PR,[]
80530010,Centro Cívico,80530010,Curitiba,- de 402 a 2710 - lado par,Rua Mateus Leme,PR,[]
86073750,Jardim Império do Sol,86073750,Londrina,,Rua Attilio Niero,PR,[]
86165000,,86165000,Florestópolis,,,PR,[]
87504720,Jardim Imigrantes,87504720,Umuarama,,Rua Manoel Rodrigues da Silva,PR,[]
85854210,Parque Ouro Verde,85854210,Foz do Iguaçu,,Rua Prata,PR,[]
87501160,Zona I,87501160,Umuarama,,Rua Inaja,PR,[]
85802040,Parque São Paulo,85802040,Cascavel,,Rua Virgílio Formighieri,PR,[]
81320130,Fazendinha,81320130,Curitiba,,Rua Fortunato de Mio,PR,[]
87200246,Zona 01,87200246,Cianorte,- até 469/470,Avenida Maranhão,PR,[]
86086220,Catuai,86086220,Londrina,,Rua João Silveira de Camargo,PR,[]
86085748,Jardim Belém,86085748,Londrina,,Rua Benedito Minervino de Oliveira,PR,[]
86078640,Conjunto Habitacional Milton Gavetti,86078640,Londrina,,Rua Professor Juliano Stinghen,PR,[]
85020570,Boqueirão,85020570,Guarapuava,,Rua Augusto Kruger,PR,[]
85862040,Parque Imperatriz,85862040,Foz do Iguaçu,,Rua Ipatinga,PR,[]
87540000,,87540000,Pérola,,,PR,[]
83055592,Ipê,83055592,São José dos Pinhais,,Rua Lais Pereti,PR,[]
85900200,Centro,85900200,Toledo,- até 1498/1499,Rua Quinze de Novembro,PR,[]
83709580,Campina da Barra,83709580,Araucária,,Rua Crisântemo,PR,[]
86801120,Núcleo Habitacional Papa João Paulo I,86801120,Apucarana,,Rua Rio Jordão,PR,[]
83823104,Nações,83823104,Fazenda Rio Grande,,Travessa Israel,PR,[]
86600218,Jardim Alto da Boa Vista,86600218,Rolândia,- de 484/485 ao fim,Rua Marechal Deodoro da Fonseca,PR,[]
84072150,Boa Vista,84072150,Ponta Grossa,,Rua Jorge Alves Pereira,PR,[]
85902200,Jardim Pancera,85902200,Toledo,,Rua Bezerra de Menezes,PR,[]
83015630,Ouro Fino,83015630,São José dos Pinhais,,Rua Pedro Pires de Oliveira,PR,[]
86041270,Jardim Neman Sahyun,86041270,Londrina,,Rua Alexandre Sahyun,PR,[]
83810000,,83810000,Areia Branca dos Assis (Mandirituba),,,PR,[]
87508210,Jardim Universitário,87508210,Umuarama,,Rodovia PR-489,PR,[]
86860000,,86860000,Jardim Alegre,,,PR,[]
86040425,Cambezinho,86040425,Londrina,,Rua Ângelo Flumignan,PR,[]
82510050,Bacacheri,82510050,Curitiba,- até 1624/1625,Rua Estados Unidos,PR,[]
87430000,,87430000,Tapejara,,,PR,[]
84016768,Jardim Carvalho,84016768,Ponta Grossa,,Rua Laranjeira,PR,[]
83085020,Quississana,83085020,São José dos Pinhais,,Rua Miguel Jarek,PR,[]
86081070,Conjunto Parigot de Souza 1,86081070,Londrina,,Rua Aurélio Buarque de Holanda,PR,[]
83823160,Nações,83823160,Fazenda Rio Grande,,Rua Sudão,PR,[]
85020560,Boqueirão,85020560,Guarapuava,,Rua Apolinário de Morais,PR,[]
83833562,Iguaçu,83833562,Fazenda Rio Grande,- até 260/261,Avenida Paraná,PR,[]
86082135,Conjunto Vivi Xavier,86082135,Londrina,,Rua Murilo Alvarenga,PR,[]
83709040,Costeira,83709040,Araucária,,Rua Nossa Senhora do Perpétuo Socorro,PR,[]
85540000,,85540000,Mangueirinha,,,PR,[]
82220360,Cachoeira,82220360,Curitiba,,Rua Monsenhor Isidoro Mikosz,PR,[]
87053675,Parque Tarumã,87053675,Maringá,,Rua Pioneiro Arthur Montagnoli,PR,[]
87506090,Jardim Petrópolis,87506090,Umuarama,,Rua Valdemiro Sandri,PR,[]
86695000,,86695000,Alto Alegre (Colorado),,,PR,[]
85805260,Alto Alegre,85805260,Cascavel,- de 4385 a 4653 - lado ímpar,Rua Cuiabá,PR,[]
82820280,Bairro Alto,82820280,Curitiba,,Rua João Ramalho,PR,[]
81320502,Fazendinha,81320502,Curitiba,,Rua Clara Leineker Rechetelo,PR,[]
81870320,Pinheirinho,81870320,Curitiba,,Rua Emanoel Voluz,PR,[]
80240270,Batel,80240270,Curitiba,,Rua Castro Alves,PR,[]
89229330,Fátima,89229330,Joinville,,Rua Cruz Alta,SC,[]
89380000,,89380000,Monte Castelo,,,SC,[]
28970000,,28970000,Araruama,,,RJ,[]
24923000,Ponta Negra (Ponta Negra),24923000,Maricá,,Rua Matheus Ribeiro Barbosa,RJ,[]
20221400,Centro,20221400,Rio de Janeiro,,Rua Visconde da Gávea,RJ,[]
25900000,,,,,,,[]
25655090,Valparaíso,25655090,Petrópolis,,Rua Rockfeller,RJ,[]
24452001,Mutondo,24452001,São Gonçalo,- até 599 - lado ímpar,Rua Doutor Alfredo Backer,RJ,[]
24030215,Centro,24030215,Niterói,- lado ímpar,Rua Marquês de Paraná,RJ,[]
25635410,Castelanea,25635410,Petrópolis,,Servidão Leonardo Webler,RJ,[]
27945250,Aroeira,27945250,Macaé,,Rua Abílio Correa Borges,RJ,[]
28030460,Centro,28030460,Campos dos Goytacazes,,Rua Cornélio Bastos,RJ,[]
21715090,Realengo,21715090,Rio de Janeiro,,Rua Caramuru,RJ,[]
25065062,Vila São Luís,25065062,Duque de Caxias,- de 142 ao fim - lado par,Avenida Perimetral Quatorze de Julho,RJ,[]
25780000,,25780000,São José do Vale do Rio Preto,,,RJ,[]
24732130,Pacheco,24732130,São Gonçalo,,Rua Brigadeiro Faria Lima,RJ,[]
28110000,,28110000,Goitacazes (Campos dos Goytacazes),,,RJ,[]
27915091,Alto Cajueiros,27915091,Macaé,- de 865 ao fim - lado ímpar,Avenida dos Jesuítas,RJ,[]
23821610,Santa Cândida,23821610,Itaguaí,,Rua Dona Elizabeth,RJ,[]
24750480,Novo México,24750480,São Gonçalo,,Estrada da Fazendinha,RJ,[]
28620300,Olaria,28620300,Nova Friburgo,,Rua João Januário da Silva,RJ,[]
28080095,Parque Prazeres,28080095,Campos dos Goytacazes,,Rua Operário João Barros,RJ,[]
24800000,,,,,,,[]
28250000,,28250000,Italva,,,RJ,[]
28060320,Parque Guarus,28060320,Campos dos Goytacazes,,Rua Alzira de Paiva Muniz,RJ,[]
26291569,Cabuçu,26291569,Nova Iguaçu,,Rua Príncipe Dom Pedro,RJ,[]
26321024,Belmonte,26321024,Queimados,(Lot N Sra Conceição),Rua Baltar,RJ,[]
22210050,Flamengo,22210050,Rio de Janeiro,,Rua Correa Dutra,RJ,[]
21675440,Guadalupe,21675440,Rio de Janeiro,,Rua Reginópolis,RJ,[]
23052102,Campo Grande,23052102,Rio de Janeiro,- de 1480/1481 a 2837/2838,Avenida Cesário de Melo,RJ,[]
23910320,Monte Castelo,23910320,Angra dos Reis,,Rua Carlos Henrique Valle,RJ,[]
28990000,,,,,,,[]
20541190,Andaraí,20541190,Rio de Janeiro,- até 479/480,Rua Paula Brito,RJ,[]
28180000,,28180000,Cardoso Moreira,,,RJ,[]
24800422,Sossego,24800422,Itaboraí,,Avenida Comandante Amaral Peixoto,RJ,[]
21070020,Penha,21070020,Rio de Janeiro,,Rua Iracema,RJ,[]
26551370,Cruzeiro do Sul,26551370,Mesquita,,Rua Júlia Viana Steinbruck,RJ,[]
25080550,Parque Felicidade,25080550,Duque de Caxias,,Rua João Goulart,RJ,[]
25265008,Santa Cruz da Serra,25265008,Duque de Caxias,- de 14002 a 19000 - lado par,Rodovia Washington Luiz,RJ,[]
27961086,Fronteira,27961086,Macaé,,Rua Doutor Manoel Marques Monteiro,RJ,[]
27332460,São Judas Tadeu,27332460,Barra Mansa,,Rua São Sebastião,RJ,[]
26022139,Carmari,26022139,Nova Iguaçu,,Rua Temis,RJ,[]
25535360,Vila Norma,25535360,São João de Meriti,- lado par,Rua Elizário de Souza,RJ,[]
23017020,Campo Grande,23017020,Rio de Janeiro,,Rua Marata,RJ,[]
20230130,Centro,20230130,Rio de Janeiro,,Praça Cruz Vermelha,RJ,[]
23052170,Campo Grande,23052170,Rio de Janeiro,,Rua Elías Lobo,RJ,[]
20766280,Inhaúma,20766280,Rio de Janeiro,,Rua Lume de Estrelas,RJ,[]
26040090,Vila Guarita,26040090,Nova Iguaçu,,Rua Anhandei,RJ,[]
21922610,Jardim Carioca,21922610,Rio de Janeiro,,Rua Oscar de Melo,RJ,[]
26140420,Andrade Araujo,26140420,Belford Roxo,- de 1082/1083 ao fim,Rua Nunes Sampaio,RJ,[]
25720362,Corrêas,25720362,Petrópolis,,Rua João Ramos,RJ,[]
26310270,Ponte Preta,26310270,Queimados,,Rua Leopoldo Froes,RJ,[]
23071460,Campo Grande,23071460,Rio de Janeiro,,Rua Nelson de Castro Monteiro,RJ,[]
23059830,Inhoaíba,23059830,Rio de Janeiro,,Rua Dezoito de Maio,RJ,[]
24315000,Atalaia,24315000,Niterói,,Rua Alarico de Souza,RJ,[]
27524310,Itapuca,27524310,Resende,,Rua Ângela Maria de Lima,RJ,[]
21863425,Bangu,21863425,Rio de Janeiro,,Rua Roque Barbosa,RJ,[]
27265570,São Carlos,27265570,Volta Redonda,,Rua Expedito Lópes,RJ,[]
25545385,Agostinho Porto,25545385,São João de Meriti,- lado ímpar,Rua Carminda,RJ,[]
24415050,Vila Lage,24415050,São Gonçalo,,Avenida Gouveia,RJ,[]
21875290,Bangu,21875290,Rio de Janeiro,,Rua do Marabu,RJ,[]
26298533,Km 32,26298533,Nova Iguaçu,,Rua São João,RJ,[]
25515220,Centro,25515220,São João de Meriti,,Rua Santana,RJ,[]
27110310,Oficinas Velhas,27110310,Barra do Piraí,,Rua Doutor Ernane da Silva Pereira,RJ,[]
21012020,Braz de Pina,21012020,Rio de Janeiro,,Rua Iguaperiba,RJ,[]
20240100,Santa Teresa,20240100,Rio de Janeiro,,Rua Ocidental,RJ,[]
25233460,Pilar,25233460,Duque de Caxias,,Rua Jurema Nunes,RJ,[]
26085155,Inconfidência,26085155,Nova Iguaçu,,Rua João Pessoa,RJ,[]
21550290,Bento Ribeiro,21550290,Rio de Janeiro,,Rua Henrique Ferreira,RJ,[]
21021020,Olaria,21021020,Rio de Janeiro,,Rua Comandante Vergueiro da Cruz,RJ,[]
25251415,Vila Maria Helena,25251415,Duque de Caxias,(Cj Patrimônio),Rua A,RJ,[]
24813312,Retiro São Joaquim,24813312,Itaboraí,,Rua Doutora Maria José de Melo Rocha,RJ,[]
21231140,Irajá,21231140,Rio de Janeiro,,Rua Erastotenes Frazão,RJ,[]
21511070,Honório Gurgel,21511070,Rio de Janeiro,,Rua Doutor Antônio Leal,RJ,[]
24742160,Almerinda,24742160,São Gonçalo,,Rua José Jerônimo de Mesquita,RJ,[]
22031112,Copacabana,22031112,Rio de Janeiro,- até 750 - lado par,Ladeira dos Tabajaras,RJ,[]
26463270,Jardim Willis,26463270,Japeri,- de 192/193 ao fim,Rua Maria Alice,RJ,[]
24110816,Barreto,24110816,Niterói,,Travessa Olaria,RJ,[]
21670290,Guadalupe,21670290,Rio de Janeiro,,Rua Argemiro de Hungria Machado,RJ,[]
26070500,Miguel Couto,26070500,Nova Iguaçu,,Rua Silvia,RJ,[]
24210205,São Domingos,24210205,Niterói,,Praça Leoni Ramos,RJ,[]
28175000,,28175000,Travessão (Campos dos Goytacazes),,,RJ,[]
21230150,Irajá,21230150,Rio de Janeiro,,Rua Lima Sucupira,RJ,[]
25255070,Santa Cruz da Serra,25255070,Duque de Caxias,,Rua Alagoas,RJ,[]
23035290,Guaratiba,23035290,Rio de Janeiro,- até 542/543,Estrada do Aterrado do Rio,RJ,[]
26900000,,26900000,Miguel Pereira,,,RJ,[]
28623400,Olaria,28623400,Nova Friburgo,,Rua Vicente Sobrinho,RJ,[]
20975190,Jacarezinho,20975190,Rio de Janeiro,,Rua Inabu,RJ,[]
28735000,,28735000,Quissamã,,,RJ,[]
21231180,Irajá,21231180,Rio de Janeiro,,Rua Itacoatiara,RJ,[]
24412000,Pita,24412000,São Gonçalo,- lado par,Rua Doutor Pio Borges,RJ,[]
25675160,Mosela,25675160,Petrópolis,,Rua Bataillard,RJ,[]
22740368,Pechincha,22740368,Rio de Janeiro,- até 998 - lado par,Rua Comendador Siqueira,RJ,[]
26291422,Cabuçu,26291422,Nova Iguaçu,,Rua Triunfo,RJ,[]
21842380,Bangu,21842380,Rio de Janeiro,,Rua do Granjeiro,RJ,[]
25212370,Jardim Santa Rita,25212370,Duque de Caxias,,Rua Quarenta e Quatro,RJ,[]
25625073,Morin,25625073,Petrópolis,,Rua Doutor Sá Earp,RJ,[]
21020350,Penha,21020350,Rio de Janeiro,,Rua Jequiriça,RJ,[]
20020030,Centro,20020030,Rio de Janeiro,,Praça Academia,RJ,[]
26020000,Alto da Posse,26020000,Nova Iguaçu,- até 970/971,Estrada João Venâncio de Figueiredo,RJ,[]
24455100,Antonina,24455100,São Gonçalo,,Rua Coronel Durval de Souza,RJ,[]
28890000,,,,,,,[]
27115130,Arthur Cataldi,27115130,Barra do Piraí,,Rua Angelino de Oliveira,RJ,[]
21655370,Anchieta,21655370,Rio de Janeiro,,Praça Itaguaje,RJ,[]
22281032,Botafogo,22281032,Rio de Janeiro,- de 317/318 ao fim,Rua Real Grandeza,RJ,[]
25270320,Taquara,25270320,Duque de Caxias,,Rua Dez,RJ,[]
21645220,Anchieta,21645220,Rio de Janeiro,,Rua Fernandes Lima,RJ,[]
22011040,Copacabana,22011040,Rio de Janeiro,,Avenida Prado Júnior,RJ,[]
20510052,Tijuca,20510052,Rio de Janeiro,- de 262 a 380 - lado par,Rua Uruguai,RJ,[]
21710261,Realengo,21710261,Rio de Janeiro,- até 1493 - lado ímpar,Rua Bernardo de Vasconcelos,RJ,[]
21725330,Padre Miguel,21725330,Rio de Janeiro,,Rua Santa Musa,RJ,[]
25065160,Vila São Sebastião,25065160,Duque de Caxias,,Rua Vereador Oscar Dias Oliveira,RJ,[]
25268060,Nova Campinas,25268060,Duque de Caxias,(Area II),Rua 3,RJ,[]
23905010,Morro da Cruz,23905010,Angra dos Reis,,Rua Prefeito João Gregório Galindo,RJ,[]
25245805,Mantiquira,25245805,Duque de Caxias,,Rua Luiz Vicente Gonzaga,RJ,[]
21070390,Penha,21070390,Rio de Janeiro,,Avenida Nossa Senhora da Penha,RJ,[]
26535670,Centro,26535670,Nilópolis,,Rua Vereador José Fortes,RJ,[]
25065190,Vila São Luís,25065190,Duque de Caxias,- até 48/49,Rua Treze de Maio,RJ,[]
26022080,Nova América,26022080,Nova Iguaçu,,Rua Marechal Rondon,RJ,[]
21825090,Bangu,21825090,Rio de Janeiro,,Rua Sibéria,RJ,[]
28470000,,28470000,Santo Antônio de Pádua,,,RJ,[]
25570210,Vila São João,25570210,São João de Meriti,,Rua Caiapó,RJ,[]
23094310,Santíssimo,23094310,Rio de Janeiro,,Rua Alziro Zarur,RJ,[]
22753047,Freguesia (Jacarepaguá),22753047,Rio de Janeiro,,Rua Jornalista Ary Vasconcelos,RJ,[]
25223780,Jardim Primavera,25223780,Duque de Caxias,,Rua Cubatão,RJ,[]
20756070,Piedade,20756070,Rio de Janeiro,,Rua Coronel Almeida,RJ,[]
23032545,Guaratiba,23032545,Rio de Janeiro,,Rua Pereira Neto,RJ,[]
20740180,Piedade,20740180,Rio de Janeiro,,Rua Sílvia,RJ,[]
25510410,Centro,25510410,São João de Meriti,,Rua José Alves da Costa,RJ,[]
22785620,Vargem Grande,22785620,Rio de Janeiro,,Estrada Vereador Alceu de Carvalho,RJ,[]
22723497,Taquara,22723497,Rio de Janeiro,,Estrada Pau da Fome,RJ,[]
27525676,Morada do Contorno,27525676,Resende,,Rua Ceará,RJ,[]
21520350,Pavuna,21520350,Rio de Janeiro,,Rua Juno,RJ,[]
22765590,Gardênia Azul,22765590,Rio de Janeiro,,Rua Monodora,RJ,[]
28905130,Parque Central,28905130,Cabo Frio,,Rua Primeiro de Março,RJ,[]
24933640,Jardim Atlântico Leste (Itaipuaçu),24933640,Maricá,- de Quadra 338 a Quadra 340,Rua Edilço Ramalho,RJ,[]
24467360,Boaçu,24467360,São Gonçalo,,Rua Alexandre Herculano,RJ,[]
25710193,Cascatinha,25710193,Petrópolis,,Rua Hyvio Naliato,RJ,[]
20761020,Inhaúma,20761020,Rio de Janeiro,,Rua Raimundo Cela,RJ,[]
20931040,Caju,20931040,Rio de Janeiro,,Rua General Gurjão,RJ,[]
20710130,Lins de Vasconcelos,20710130,Rio de Janeiro,,Rua Lins de Vasconcelos,RJ,[]
20972420,Jacaré,20972420,Rio de Janeiro,,Rua Quinze de Agosto,RJ,[]
27963020,Parque Aeroporto,27963020,Macaé,(Jd Aeroporto),Rua Joaquim de Paula,RJ,[]
27335550,9 de Abril,27335550,Barra Mansa,,Rua F-2,RJ,[]
25585590,Parque Araruama,25585590,São João de Meriti,,Rua Mendes,RJ,[]
21011130,Penha Circular,21011130,Rio de Janeiro,,Rua Ourique,RJ,[]
23540145,Sepetiba,23540145,Rio de Janeiro,- até 850/851,Rua Justo de Morais,RJ,[]
24450350,Mutondo,24450350,São Gonçalo,,Rua Madame Curie,RJ,[]
25965333,Barra do Imbuí,25965333,Teresópolis,,Servidão Sabiá,RJ,[]
22775190,Jacarepaguá,22775190,Rio de Janeiro,,Rua Clóvis da Silva,RJ,[]
24724150,Vista Alegre,24724150,São Gonçalo,,Rua Itatuba,RJ,[]
21520470,Pavuna,21520470,Rio de Janeiro,,Rua Frei Vicente,RJ,[]
21231150,Irajá,21231150,Rio de Janeiro,,Rua Francisco Scarambone,RJ,[]
25220750,Parque João Pessoa,25220750,Duque de Caxias,,Rua Doutor Borges de Medeiros,RJ,[]
25645420,Independência,25645420,Petrópolis,,Rua Leonor Maia,RJ,[]
28620200,Olaria,28620200,Nova Friburgo,,Rua Cândido Pardal,RJ,[]
24344541,Engenho do Mato,24344541,Niterói,(Lot Jd Fazendinha),Rua Maria Luzia Gomes da Costa,RJ,[]
23093030,Santíssimo,23093030,Rio de Janeiro,,Rua Doutor Juvenal Murtinho,RJ,[]
28540000,,28540000,Cordeiro,,,RJ,[]
28230000,,28230000,São Francisco de Itabapoana,,,RJ,[]
21911550,Freguesia (Ilha do Governador),21911550,Rio de Janeiro,,Rua Tremembê,RJ,[]
21240365,Jardim América,21240365,Rio de Janeiro,,Rua Marechal José Pessoa,RJ,[]
22780640,Curicica,22780640,Rio de Janeiro,,Rua Ventura,RJ,[]
25086240,Parque Beira Mar,25086240,Duque de Caxias,,Alameda Antônio Carlos,RJ,[]
27185000,,27185000,Arrozal (Piraí),,,RJ,[]
27240635,Parque Vitória,27240635,Volta Redonda,,Rua Sete,RJ,[]
24931245,São José do Imbassaí,24931245,Maricá,(Lot Vissagem),Rua José Rocha Felgueiras,RJ,[]
20943170,Mangueira,20943170,Rio de Janeiro,,Travessa Barreira,RJ,[]
26070111,Boa Esperança,26070111,Nova Iguaçu,,Rua Curtidor,RJ,[]
21040113,Ramos,21040113,Rio de Janeiro,- de 277 ao fim - lado ímpar,Avenida Teixeira de Castro,RJ,[]
25821090,Ponto Azul,25821090,Três Rios,,Rua Nemésio de Paula,RJ,[]
24900000,,,,,,,[]
21042130,Maré,21042130,Rio de Janeiro,,Rua Praia de Inhaúma,RJ,[]
23025250,Pedra de Guaratiba,23025250,Rio de Janeiro,,Rua Soldado Adão Wojcik,RJ,[]
24736220,Pacheco,24736220,São Gonçalo,,Estrada São Pedro,RJ,[]
25020300,Parque Senhor do Bonfim,25020300,Duque de Caxias,,Rua Doutor Arruda Negreiros,RJ,[]
28920017,Jardim Esperança,28920017,Cabo Frio,,Rua Lourival Franco de Oliveira,RJ,[]
20750000,Abolição,20750000,Rio de Janeiro,,Rua Ferreira Leite,RJ,[]
24727178,Marambaia,24727178,São Gonçalo,,Rua Osmar da Conceição,RJ,[]
21351110,Oswaldo Cruz,21351110,Rio de Janeiro,,Rua Clara Nunes,RJ,[]
20730380,Engenho de Dentro,20730380,Rio de Janeiro,,Rua Doutor Leal,RJ,[]
21511490,Coelho Neto,21511490,Rio de Janeiro,,Rua Agenor Porto,RJ,[]
25015380,Parque Lafaiete,25015380,Duque de Caxias,,Rua Ernesto de Melo,RJ,[]
25963690,Pimenteiras,25963690,Teresópolis,,Rua Oscar José da Silva,RJ,[]
25040150,Vila Rosário,25040150,Duque de Caxias,,Rua Lópes Trovão,RJ,[]
22280120,Botafogo,22280120,Rio de Janeiro,,Travessa Dona Marciana,RJ,[]
23570510,Santa Cruz,23570510,Rio de Janeiro,,Rua Francisco Belisário,RJ,[]
22270010,Botafogo,22270010,Rio de Janeiro,- até 154 - lado par,Rua Voluntários da Pátria,RJ,[]
28051170,Parque Caju,28051170,Campos dos Goytacazes,,Rua Rocha Leão,RJ,[]
23092055,Campo Grande,23092055,Rio de Janeiro,,Rua Professor José de Mendonça,RJ,[]
20251380,Santa Teresa,20251380,Rio de Janeiro,,Rua Miguel Resende,RJ,[]
22753083,Itanhangá,22753083,Rio de Janeiro,,Rua João Carlos,RJ,[]
23059150,Inhoaíba,23059150,Rio de Janeiro,,Rua Moranga,RJ,[]
24020094,Centro,24020094,Niterói,- lado ímpar,Rua Doutor Celestino,RJ,[]
21341180,Oswaldo Cruz,21341180,Rio de Janeiro,,Rua Henrique Braga,RJ,[]
24430040,Porto Velho,24430040,São Gonçalo,,Rua Alcindo Araújo Ribeiro Filho,RJ,[]
20560130,Vila Isabel,20560130,Rio de Janeiro,,Rua Armando de Albuquerque,RJ,[]
24210330,Boa Viagem,24210330,Niterói,,Rua Edmundo March,RJ,[]
28055050,Parque Corrientes,28055050,Campos dos Goytacazes,,Rua Afonso Pereira Caldas,RJ,[]
22753053,Itanhangá,22753053,Rio de Janeiro,,Avenida Engenheiro Souza Filho,RJ,[]
21330080,Vila Valqueire,21330080,Rio de Janeiro,,Rua Água Comprida,RJ,[]
25963740,Pimenteiras,25963740,Teresópolis,,Rua Etelvino Dias da Rosa,RJ,[]
21235410,Irajá,21235410,Rio de Janeiro,,Rua Sebastião de Souza Gouveia,RJ,[]
21044440,Bonsucesso,21044440,Rio de Janeiro,,Rua Portinari,RJ,[]
21825120,Bangu,21825120,Rio de Janeiro,,Rua Mongólia,RJ,[]
23032450,Guaratiba,23032450,Rio de Janeiro,,Rua José de Oliveira,RJ,[]
23032140,Guaratiba,23032140,Rio de Janeiro,,Rua Celidonia,RJ,[]
28016812,Parque Califórnia,28016812,Campos dos Goytacazes,- até 852 - lado par,Avenida Alberto Lamego,RJ,[]
27195000,,27195000,Santanésia (Piraí),,,RJ,[]
20530002,Tijuca,20530002,Rio de Janeiro,- de 0684 a 0986 - lado par,Rua Conde de Bonfim,RJ,[]
23591520,Santa Cruz,23591520,Rio de Janeiro,,Rua Ernandes Prates,RJ,[]
28637000,,28637000,Sumidouro,,,RJ,[]
28027432,Parque Aurora,28027432,Campos dos Goytacazes,- de 78 a 308 - lado par,Rua Maestro Lourenço Soares,RJ,[]
25271410,Santa Lúcia,25271410,Duque de Caxias,,Rua Ipê,RJ,[]
25615171,Quissama,25615171,Petrópolis,,Rua Doutor João Barcelos,RJ,[]
26520502,Centro,26520502,Nilópolis,- de 1302 ao fim - lado par,Estrada João Evangelista de Carvalho,RJ,[]
20241130,Santa Teresa,20241130,Rio de Janeiro,,Rua Pinto Martins,RJ,[]
28940000,,,,,,,[]
24240705,Santa Rosa,24240705,Niterói,,Rua Martins Torres,RJ,[]
21241340,Vigário Geral,21241340,Rio de Janeiro,,Rua Furquim Mendes,RJ,[]
28616007,Lumiar,28616007,Nova Friburgo,,Praça Levy Ayres Brust,RJ,[]
